date,height[m],error[m],dataset,ID,name,location,continent,country,longitude,latitude
1994-08-09,361.511,0.0002862777686404,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-08-19,361.732,0.0001556818653507,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-08-29,361.922,0.0002780073427097,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-09-08,361.916,0.0002390757292216,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-09-18,362.052,0.0004354695833578,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-09-28,362.224,0.000365104612318,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-10-08,362.316,0.000408709585173,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-10-17,362.226,0.0001605057230451,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-10-27,362.258,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-11-16,362.392,6.140566033739171e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-11-26,362.125,0.0002973697837572,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-12-06,362.248,0.0001514970125931,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-12-16,362.04,0.0001812147814472,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1994-12-26,362.038,0.0004013494589855,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-01-05,362.048,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-01-15,361.988,0.0003934835253558,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-01-25,361.781,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-02-04,361.86,0.0001082387629254,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-02-13,361.811,0.000312870414797,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-02-23,361.715,0.0004140033950875,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-03-15,361.554,0.0002362162091724,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-03-25,361.534,0.0003346846777819,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-04-04,361.494,0.0002906017942202,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-04-14,361.452,0.000224386746429,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-04-24,361.315,0.000189026830665,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-05-14,361.332,0.0003952045440376,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-05-24,361.288,6.943720313427528e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-05-26,361.331,0.0003976591876186,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-06-02,361.19,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-06-12,361.144,0.0004814043564408,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-06-16,361.2,0.001732090742934,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-06-22,361.157,0.000410405155954,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-06-30,361.169,6.694586100579207e-06,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-07-12,361.166,0.0003019481943094,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-07-22,361.091,0.0002937389891322,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-08-01,361.136,0.000172681585561,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-08-11,361.25,0.0002880302398496,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-08-21,361.158,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-08-31,361.229,0.0003826148735685,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-09-08,361.342,0.0003459111316018,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-09-10,361.459,0.0001057455998475,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-09-20,361.431,0.0001570855499846,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-09-29,361.451,0.0004730172747942,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-10-09,361.558,0.0003058325460796,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-10-19,361.618,0.000675491698362,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-10-29,361.437,0.0004416741460766,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-11-18,361.404,0.0005627488663052,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-12-08,361.267,0.0002405658314407,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-12-18,361.319,0.0004369993223723,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1995-12-28,361.289,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-01-07,361.133,0.0002353650792792,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-01-17,361.174,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-02-05,361.218,0.0021663841380917,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-02-16,361.191,0.003970527907717,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-03-01,361.074,0.0014200740863279,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-03-06,360.9,0.0003006501661405,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-03-16,360.832,0.0004792761415495,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-03-26,360.778,0.0005418057169258,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-04-05,360.7,0.0001639633507074,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-04-15,360.662,0.000135314212978,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-04-25,360.747,0.0003165873048868,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-05-05,360.698,0.0001497814283437,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-05-15,360.686,0.0002830099837667,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-05-24,360.716,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-06-03,360.854,0.0002830221547291,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-06-23,361.244,0.0005776397754037,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-07-05,361.376,0.0012865816105517,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-07-23,361.546,0.0002978347778575,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-08-02,361.678,0.0003094622923747,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-08-12,361.791,0.0003969391563266,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
