Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982.0,0.9893364849534083,1.1081465297254809,1.2336723921803754,1.4942862543363713,1.8604461001826818,2.2335011434333056,2.592686387539206,2.549189001059104,2.160738631039077,1.8328668727373192,1.3659643339797296,1.1171280093420453
1983.0,1.0197502642840763,0.9953776842277123,1.0761342667517115,1.4727563770795387,1.8578090580752582,2.2440421517706257,2.60325996939094,2.550697008109374,2.144541342231238,1.8001966219367282,1.3189149703258403,1.0240726274054799
1984.0,1.0817175302101187,0.9644979391707009,1.171645838038314,1.5255205915038057,1.865789731740149,2.251580768535424,2.6063669531631355,2.5619827954250676,2.1568586238319027,1.7896428566572107,1.318763835308126,1.085179489832054
1985.0,1.0517184660002894,1.1083887021807273,1.2007368605581208,1.6210189903697159,1.8708916063993013,2.2855272158801414,2.5456539416178283,2.533371217711795,2.2515979114369085,1.8335706784463328,1.4080912144769777,1.1956719274435332
1986.0,1.0262897619757994,1.1216868125795674,1.266175382301293,1.6277996297210384,1.8440527660463109,2.27917717273437,2.6029126666442375,2.5499372504813267,2.262244785698902,1.8338865183748396,1.4606655036734248,1.205321175625367
1987.0,1.098204153874214,1.0904949882735164,1.2281077311293753,1.6229529390464354,1.852953081543131,2.2586533605526475,2.545968524487437,2.554693034106585,2.2483076825703665,1.789743590557808,1.416647519223248,1.123552290121902
1988.0,0.9212427551832874,1.1349962472549604,1.338527024524779,1.5559632738088875,1.8617067440579846,2.274024453539668,2.559125790537965,2.5391386441606656,2.2743487902405786,1.7819089795577032,1.3445913267480598,1.2144931130058365
1989.0,0.973290661983315,1.0489712183591742,1.133898903863695,1.5508162093594104,1.8679625848013854,2.2613842397502375,2.5819655820937357,2.5674656919797485,2.2780810107723344,1.831716258213438,1.489525975438715,1.3252968066440598
1990.0,1.0171297213345363,1.0631366895372816,1.2665347382172152,1.6646286112250364,1.8522280047335964,2.2415450740688625,2.543890481515534,2.532640252637976,2.2653047677208162,1.8293495772878985,1.486435303015738,1.2249827683962282
1991.0,1.1628599823312236,1.2445700752237534,1.2174976899130188,1.5684759891442015,1.8450846099908833,2.252220830508757,2.5603016707109805,2.5012585276851667,2.227282219118835,1.8347011135658204,1.4462356198865831,1.171634482558031
1992.0,0.9410192966926473,1.1861584439601174,1.29468205506603,1.6183701358180276,1.9723507777426161,2.200769830118704,2.5484861458483916,2.4868811038387735,2.215796446415567,1.8324645624457374,1.4338599088447912,1.1443319517191737
1993.0,0.9645743055749502,1.034478841128462,1.2038159105750217,1.551787694334785,1.8578617914316171,2.2344062193275924,2.468298902916834,2.45909224049001,2.2594653463906123,1.8129707911459472,1.4074963049595637,1.118801334495475
1994.0,1.0578384233723868,1.1215269247880428,1.3196541519447993,1.6163835992421371,1.887390162226494,2.252127566036251,2.453711296651282,2.432553470700619,2.2140510897372665,1.823708279622592,1.3706021960995955,1.1702839592550054
1995.0,0.8813101757575499,1.177330695359792,1.2639140302997476,1.5963134706654807,1.87227019336368,2.2694624765074063,2.513663240890364,2.4987473863660705,2.2614455253839654,1.8391171114502762,1.4444852351595538,1.1683040479859361
1996.0,1.0019753446677315,1.0625619852791501,1.2967940346301137,1.6044129002907104,1.8705500010016411,2.2463622829855114,2.480529367926088,2.507251514875059,2.2394830097791965,1.8268867726515159,1.4236324012707202,1.134437325593312
1997.0,1.0670205034870812,1.2168731395293355,1.3283022624271217,1.6231124120448908,1.8746745728075476,2.251238140945324,2.505252429534367,2.5170649145704442,2.2634963692476138,1.8205901115638576,1.3855211651722694,1.2047412670470254
1998.0,0.8489896725676112,0.9597330178323402,1.220785101304341,1.5058045751615081,1.832702604329568,2.2270263748133505,2.533502535126228,2.516673828787969,2.265817556983487,1.8370677068358245,1.3516208910400875,1.2025082898554322
