Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002.0,nan,nan,nan,7.015243053436279,3.604763984680176,nan,nan,-4.584089756011963,-9.21467113494873,-2.301767110824585,1.5289379358291626,5.1652092933654785
2003.0,3.3857529163360596,6.306166172027588,8.21243667602539,4.642124176025391,-1.0545424222946167,nan,-3.43730092048645,-6.706336498260498,-6.618249416351318,-7.009716510772705,-5.062994956970215,-4.3835039138793945
2004.0,-1.5027413368225098,0.07283004373311996,4.3469343185424805,3.693558931350708,2.2894198894500732,3.060882329940796,1.1461544036865234,-0.942717432975769,-5.718955039978027,-0.3486209809780121,8.688653945922852,14.103423118591309
2005.0,16.31117057800293,17.57497787475586,15.21202564239502,12.95034122467041,7.891873836517334,5.064829349517822,0.5771384835243225,-3.1309967041015625,-4.938992500305176,-3.6017065048217773,-3.715667963027954,-4.930670738220215
2006.0,-6.080047607421875,-4.494474411010742,-2.971937656402588,-2.5506489276885986,-2.9881913661956787,-6.831845760345459,-9.651472091674805,-10.323710441589355,-8.490804672241211,-5.926832675933838,-5.154501438140869,-5.341706275939941
2007.0,4.541574478149414,4.054742336273193,3.8099663257598877,4.3864521980285645,8.403010368347168,9.800322532653809,10.091493606567383,7.480564594268799,2.3843815326690674,-0.3754308223724365,-1.4165623188018799,0.6711417436599731
2008.0,2.8450369834899902,1.823585033416748,5.0919413566589355,5.553856372833252,1.6849287748336792,-3.1491215229034424,-5.474761962890625,-6.482931137084961,-2.3042447566986084,-4.212221622467041,-4.347586631774902,-3.2945516109466553
2009.0,-4.823912620544434,-8.106703758239746,-4.433966636657715,-3.958723545074463,0.7782191038131714,-5.000399589538574,-9.406045913696289,-9.898670196533203,-8.852121353149414,-1.8727201223373413,-1.3373377323150635,1.9998244047164917
2010.0,0.8021245002746582,6.3180694580078125,8.87812328338623,6.002821922302246,3.080517053604126,0.04315407574176788,0.12153410911560059,-5.571420669555664,-6.868873119354248,-8.516022682189941,-8.790761947631836,-7.506978511810303
2011.0,nan,-3.7879421710968018,-5.37504243850708,-9.892711639404297,-9.382336616516113,nan,-17.45496368408203,-17.809816360473633,-22.493026733398438,-37.60026550292969,nan,-10.152972221374512
2012.0,-8.601449966430664,-5.930958271026611,-3.6494076251983643,-5.040923595428467,nan,-8.997001647949219,-12.782017707824707,-16.800058364868164,-18.952621459960938,nan,-15.554313659667969,-16.346406936645508
2013.0,-14.688390731811523,-13.066817283630371,nan,-11.711087226867676,-15.1273193359375,-14.551048278808594,-16.292091369628906,nan,nan,-16.906620025634766,-14.968588829040527,-10.554176330566406
2014.0,-10.898241996765137,nan,-13.611333847045898,-15.563374519348145,-14.984990119934082,-11.745452880859375,nan,-17.04599952697754,-17.97165298461914,-18.115442276000977,-16.271617889404297,nan
2015.0,-11.251422882080078,-9.674840927124023,-6.246410369873047,-13.143498420715332,nan,nan,-1.3936500549316406,-12.025144577026367,-15.388814926147461,nan,nan,3.903435230255127
2016.0,5.2885026931762695,3.645810604095459,4.824448585510254,nan,5.043844223022461,5.649735450744629,-3.5990793704986572,-7.215855598449707,nan,nan,-6.811902046203613,-3.8428187370300293
2017.0,1.9106556177139282,nan,-3.432706356048584,-3.3675928115844727,-2.9561030864715576,-1.3735156059265137,nan,nan,nan,nan,nan,nan
2018.0,nan,nan,nan,nan,nan,-9.472644805908203,-12.299039840698242,nan,nan,-0.1456671804189682,0.5501890182495117,2.425584316253662
2019.0,7.547276020050049,3.0332019329071045,1.0905637741088867,3.103285312652588,6.374900817871094,6.380771636962891,-1.1115164756774902,-8.767632484436035,-11.352945327758789,-12.558195114135742,-9.287236213684082,-8.0424222946167
2020.0,-6.2250447273254395,0.2649764120578766,1.8170522451400757,-0.1790863424539566,-3.7114548683166504,-6.994009971618652,-9.689702033996582,-12.587257385253906,-6.587653636932373,-10.03979206085205,-11.689586639404297,-10.147719383239746
2021.0,-6.284492015838623,-5.504744052886963,-7.27451229095459,-5.376837730407715,-4.166202545166016,-2.0180280208587646,-3.0706334114074707,-7.160955905914307,-12.341300964355469,-13.226877212524414,-9.680329322814941,-15.104430198669434
2022.0,-12.14474105834961,-9.050129890441895,-14.234865188598633,-8.892215728759766,-12.594690322875977,-12.43103313446045,-16.820072174072266,-13.05150318145752,-17.383583068847656,-21.58347511291504,-16.79907989501953,-11.026640892028809
2023.0,-9.256660461425781,-5.064629554748535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
