Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002.0,nan,nan,nan,-9.905299186706543,-8.703347206115723,nan,nan,13.128067016601562,13.495760917663574,14.806379318237305,10.930325508117676,8.18298625946045
2003.0,1.613030195236206,-5.701119899749756,-11.668728828430176,-12.6310453414917,-11.776182174682617,nan,8.675460815429688,10.694594383239746,7.458922863006592,6.756040096282959,4.550641059875488,0.6576746106147766
2004.0,-2.93967866897583,-10.385614395141602,-13.135882377624512,-10.428430557250977,-5.7835564613342285,0.8037396669387817,11.120579719543457,10.47260570526123,7.802700042724609,7.557458400726318,3.9356889724731445,-1.612099051475525
2005.0,-5.0369648933410645,-9.7164888381958,-13.243782043457031,-13.676822662353516,-7.281561851501465,4.316562175750732,9.750507354736328,15.402091026306152,15.617979049682617,9.201005935668945,3.938542604446411,2.209491014480591
2006.0,-1.5012717247009277,-8.461334228515625,-9.60019588470459,-11.084783554077148,-6.8586201667785645,2.4031989574432373,12.453024864196777,19.003618240356445,12.2843017578125,8.645967483520508,5.949016094207764,2.339482069015503
2007.0,-1.9788535833358765,-6.977071285247803,-10.163959503173828,-10.435242652893066,-5.885239124298096,0.04331373795866966,6.42108154296875,9.178561210632324,5.639366626739502,8.203407287597656,5.502264499664307,-1.8724817037582397
2008.0,-5.793120861053467,-12.511857032775879,-19.600666046142578,-16.029804229736328,-7.8386430740356445,2.485727548599243,6.549267768859863,11.548758506774902,10.60248851776123,7.650887489318848,2.778214454650879,-2.3336198329925537
2009.0,-7.06695032119751,-9.00339126586914,-14.393230438232422,-14.104966163635254,-8.188478469848633,0.11649064719676971,4.977031707763672,8.706533432006836,13.615999221801758,7.672909736633301,6.111876010894775,1.9129198789596558
2010.0,-2.482882261276245,-5.3752641677856445,-7.634805202484131,-9.118782997131348,-8.673913955688477,-1.0936473608016968,8.934866905212402,13.081790924072266,11.71284008026123,7.551455497741699,7.027966499328613,3.5352087020874023
2011.0,nan,-9.009634017944336,-11.793913841247559,-10.904535293579102,-6.009337902069092,nan,6.9058990478515625,11.648333549499512,11.29442310333252,18.183046340942383,nan,-1.714333176612854
2012.0,-4.495426654815674,-6.717203617095947,-10.315384864807129,-12.099310874938965,nan,3.2907843589782715,9.392670631408691,11.170831680297852,12.285197257995605,nan,1.515234112739563,0.4769875407218933
2013.0,-3.492696762084961,-8.035112380981445,nan,-8.902535438537598,-7.99175500869751,1.3506965637207031,8.099478721618652,nan,nan,7.895054817199707,6.72486686706543,-0.013525485061109066
2014.0,-2.7231056690216064,nan,-10.845887184143066,-4.90617036819458,8.002046585083008,14.397568702697754,nan,24.557235717773438,20.40254020690918,13.008962631225586,10.162971496582031,nan
2015.0,-1.0301659107208252,-5.50738525390625,-8.551063537597656,-15.202376365661621,nan,nan,10.502165794372559,20.466737747192383,20.09879493713379,nan,nan,5.334596157073975
2016.0,3.409301996231079,-2.9875423908233643,-8.280792236328125,nan,0.21869714558124542,1.7673077583312988,7.315672874450684,19.23167610168457,nan,nan,9.288857460021973,10.788529396057129
2017.0,-1.1920032501220703,nan,0.31803521513938904,-5.055379390716553,5.478787422180176,6.145166873931885,nan,nan,nan,nan,nan,nan
2018.0,nan,nan,nan,nan,nan,16.655298233032227,14.392433166503906,nan,nan,14.386028289794922,25.13311004638672,8.772626876831055
2019.0,7.697131633758545,-0.6669905781745911,-4.2027482986450195,-6.926888942718506,1.7467037439346313,8.641977310180664,22.160037994384766,33.73861312866211,26.390047073364258,20.435487747192383,12.599165916442871,10.628746032714844
2020.0,10.78335952758789,10.93083381652832,-6.55193567276001,-6.03129768371582,-2.9329283237457275,5.743765830993652,22.352535247802734,35.793922424316406,27.529502868652344,19.218860626220703,12.183645248413086,14.837156295776367
2021.0,9.092647552490234,0.4664567708969116,-7.641758441925049,-9.891339302062988,-1.7926037311553955,9.38322925567627,13.420757293701172,12.744885444641113,17.047306060791016,10.60820198059082,9.573808670043945,1.8332276344299316
2022.0,-1.5955089330673218,-5.422698497772217,-7.5123701095581055,-3.347476005554199,-1.242087483406067,6.4361701011657715,19.724618911743164,29.793790817260742,20.669878005981445,33.13246154785156,13.365086555480957,3.575942277908325
2023.0,0.9533436894416809,-5.564976215362549,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
