Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003.0,347.4440779365721,325.8531931125793,326.4227376668501,332.3832667612732,360.99252682225193,376.5737258755243,375.7435248263811,359.05961344591907,345.6783978765117,344.03590553863836,337.1853243841239,324.1460933614132
2004.0,320.85957705958884,316.06501644076343,314.95392825443173,307.73799373889875,316.8223778940595,383.9236605597961,376.5394407644002,389.3457379490672,375.94811989050066,368.78862914156934,356.0277860917654,343.6161204867585
2005.0,339.303610884979,335.0455395660143,330.6142781250001,326.9667532898849,320.1581603734566,322.8991112640226,313.80040511872323,310.9222406112386,303.81670597031894,300.8039463173804,296.87832666151,288.58220719958257
2006.0,279.62754798929285,277.2159965945706,274.0623837025135,271.8217106967552,292.92575982203266,312.8370905038713,291.08429389522144,303.3789313374026,304.24049972346523,308.6441223073548,311.01640948360426,306.22001575218917
2007.0,300.36789657528095,299.3662455287739,299.8742747631728,295.31345423272035,313.1896906500324,348.78426507851555,341.54277512132603,326.78452526238635,309.9084456719533,306.0811202070364,296.3655775253876,291.3305880665249
2008.0,288.66870473272365,281.41552029623983,279.11356730527734,277.09927181381227,298.98212189028686,318.35756727218615,299.1854898711492,285.89179195981643,279.3793810157414,268.2933782794604,264.3029053068823,253.1898390506863
2009.0,245.34333354844065,244.4128250773548,241.11580437817423,240.7004606864615,249.93677640645987,287.8885586289959,274.62787643864584,263.8083977232763,251.1974238871161,250.04570546811473,241.67323770785168,240.01111032298374
2010.0,239.67543879038854,233.44535707507862,229.63470075704507,232.72925010957985,259.9928034974432,267.7207616087503,265.9745347200588,259.5712912226306,246.3283434280189,237.4701356194001,222.22208451508536,218.44651670169367
2011.0,217.92696336128074,212.8957122885345,221.77195358817164,218.69605735946374,230.8054258446028,285.8889546818767,247.07092639170895,228.27935670281798,213.78649975831783,200.32407053652943,193.42471473775774,190.56830370556585
2012.0,190.09872381317334,187.40875087178725,184.98014268456654,182.08418528678393,195.8526876152168,216.06971556783841,209.82661144663618,203.43924906255089,200.43227497003073,202.5933646506443,200.921116804782,201.12982346611125
2013.0,197.07134449045992,193.29554624579632,193.00302861161316,197.76157135325045,208.0554138883236,247.97885726233065,219.28950986101935,215.5069785402692,223.71903818155582,222.28225763071296,218.84447296907516,216.35364927012085
2014.0,217.42552342087612,219.19288966566862,222.1281972634812,221.4378768957634,249.75476126536833,292.2040860332798,286.1529643712157,280.59337421360425,277.1551263252087,278.4818830173931,286.39355565647423,286.9931420518486
2015.0,282.62507351518593,283.1620054404105,294.4855721470783,302.67475628017183,292.2970762876068,303.9326337968297,321.71248231290866,309.62151955455,306.3774633432505,311.1646001933741,309.5925455540959,297.9351499662584
2016.0,283.4362088410967,270.9335292404466,272.71396401044166,265.45530257555055,277.31722199475035,318.9607576521169,307.0201007178261,299.4397303410483,296.51117917676015,305.4312649416585,296.87956819105824,333.0817386825282
2017.0,342.6980072589327,340.82358160593,334.393555938738,335.66330818433767,331.9689921841579,410.90438315577745,407.5283674165419,393.31982449457354,381.68324461441404,383.20902817755933,386.72767176889477,387.1384740475194
2018.0,383.7765789376114,381.26564125827497,374.7076385627186,364.5673230340786,357.41881224756,368.55335524425686,341.7476936906175,328.0354800092329,321.49019500312096,313.2943832928174,296.10287323871745,295.0938415573185
2019.0,290.77500516939693,282.50296461253015,284.41798374313333,280.0479353862885,300.6181106236967,341.03795237484854,316.7699542190451,332.7482168953935,326.4753533045797,320.9219885687607,329.97936074627245,324.8828339319822
