Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002.0,nan,nan,nan,6.156526565551758,5.221683025360107,nan,nan,-1.4274177551269531,-4.39078950881958,-6.106347560882568,-5.6596903800964355,-2.7020130157470703
2003.0,1.773842692375183,4.881104946136475,5.9359660148620605,6.262039661407471,7.3648786544799805,nan,1.7766282558441162,-0.7577105760574341,-2.273589611053467,-4.423253059387207,-2.162602186203003,2.0755105018615723
2004.0,4.248190402984619,7.098791599273682,8.240151405334473,9.295775413513184,6.145578384399414,2.1010186672210693,1.7944172620773315,-0.23456896841526031,-1.5031696557998657,-3.7658777236938477,-2.0057485103607178,1.9468666315078735
2005.0,3.3505663871765137,7.262436866760254,7.836388111114502,7.929642677307129,6.202653408050537,3.540710926055908,1.0719223022460938,-1.3554251194000244,-1.965442180633545,-2.9363622665405273,-2.7466588020324707,-0.6371181011199951
2006.0,2.1367385387420654,5.265609264373779,6.991987705230713,6.477299213409424,3.4203827381134033,1.5430423021316528,0.2538098394870758,-2.7554612159729004,-4.538304328918457,-5.081850528717041,-2.731401205062866,-0.16824322938919067
2007.0,2.2229814529418945,3.2483432292938232,4.361896514892578,5.299916744232178,3.796048164367676,1.1040061712265015,-1.5604002475738525,-2.84971284866333,-5.1257123947143555,-7.2627081871032715,-7.0899763107299805,-2.9554805755615234
2008.0,0.36533302068710327,1.9724663496017456,4.361109733581543,1.8412418365478516,0.10598143190145493,-1.3504583835601807,-3.364558219909668,-5.464807510375977,-8.33594036102295,-8.42912769317627,-7.161674499511719,-5.060379505157471
2009.0,-0.945296585559845,-0.7906073331832886,1.8800632953643799,2.138857126235962,0.353152871131897,-1.6909856796264648,-3.8513216972351074,-5.7056565284729,-5.887576580047607,-7.602171421051025,-7.689733505249023,-4.605459213256836
2010.0,1.569893479347229,3.369098663330078,6.0528154373168945,6.716822147369385,4.021269798278809,0.6211444735527039,-0.5001140236854553,-3.165565252304077,-5.153656959533691,-5.981949329376221,-5.225663661956787,-2.6768367290496826
2011.0,nan,2.76505970954895,4.113522529602051,3.907054901123047,1.8264620304107666,nan,-1.2119593620300293,-4.011795520782471,-5.447961807250977,-12.641805648803711,nan,0.6691665053367615
2012.0,2.2378103733062744,4.265750885009766,5.355893611907959,5.232143402099609,nan,-1.9905844926834106,-4.088442802429199,-4.1306610107421875,-6.130853652954102,nan,-5.605235576629639,-4.874345779418945
2013.0,-1.2078683376312256,1.9831210374832153,nan,2.0109481811523438,0.9537862539291382,-0.8888953924179077,-3.761995553970337,nan,nan,-7.614837169647217,-7.4437994956970215,-5.34664249420166
2014.0,-2.6270265579223633,nan,4.5129289627075195,3.021538734436035,1.8065612316131592,-2.7884461879730225,nan,-6.739230155944824,-8.37405776977539,-7.881751537322998,-5.908458232879639,nan
2015.0,-2.325838804244995,0.15587779879570007,-1.2618145942687988,1.581279993057251,nan,nan,-6.190659523010254,-8.638423919677734,-8.330987930297852,nan,nan,-3.8462345600128174
2016.0,1.3472399711608887,4.292923450469971,2.3294177055358887,nan,2.3000919818878174,0.7708321213722229,-0.5409521460533142,-3.5655689239501953,nan,nan,-5.856973648071289,1.4805138111114502
2017.0,2.743213415145874,nan,5.23653507232666,9.86811637878418,7.719481945037842,7.564939975738525,nan,nan,nan,nan,nan,nan
2018.0,nan,nan,nan,nan,nan,1.0462830066680908,-1.0546674728393555,nan,nan,-6.8429107666015625,-5.7500200271606445,-1.9999430179595947
2019.0,-0.12618549168109894,2.277082681655884,3.8025667667388916,4.076796054840088,2.432272434234619,-0.3071971535682678,-3.806759834289551,-5.297215461730957,-7.722280025482178,-6.930944919586182,-6.449600696563721,-4.078929424285889
2020.0,0.31231918931007385,3.15916109085083,3.193222999572754,2.7254765033721924,1.37357497215271,-1.4459857940673828,-3.810598373413086,-5.190733909606934,-7.551499366760254,-7.429965972900391,-7.669940948486328,-8.42058277130127
2021.0,-7.931532382965088,1.2760838270187378,1.6851602792739868,2.33333683013916,-0.02946653589606285,-3.7274603843688965,-4.634990215301514,-7.04074764251709,-9.88943099975586,-8.939266204833984,-7.711265563964844,-12.38902759552002
2022.0,-6.431931972503662,-7.047177314758301,-8.368269920349121,0.8388576507568359,-1.714855432510376,-2.837294101715088,-8.033796310424805,-8.901402473449707,-8.46435546875,-10.378229141235352,-10.601859092712402,-5.785618782043457
2023.0,-1.752160906791687,0.8327258229255676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
